release_speed,spin_axis,delta_home_win_exp
97.7,212.0,0.0
88.2,270.0,0.0
96.4,199.0,0.0
92.3,195.0,0.0
89.7,191.0,0.0
92.5,201.0,0.0
80.3,106.0,0.0
99.0,211.0,0.0
92.2,220.0,-0.078
97.3,207.0,0.0
95.1,193.0,0.0
90.7,140.0,0.009
83.8,120.0,0.0
78.8,340.0,-0.04
79.1,12.0,0.0
85.1,188.0,0.0409999999999999
83.9,212.0,0.0
96.4,244.0,0.0
96.5,203.0,0.0
86.0,241.0,-0.04
94.6,200.0,-0.0069999999999999
87.7,168.0,0.0
77.7,338.0,0.0
93.3,174.0,0.0
96.6,217.0,0.0
88.6,88.0,0.0
73.1,295.0,0.0
96.4,202.0,0.0
79.5,26.0,0.0
93.9,249.0,0.0
72.8,75.0,0.0
87.0,221.0,0.0
76.2,48.0,0.0
98.5,199.0,0.0
85.8,257.0,0.081
90.3,174.0,0.0
91.3,224.0,0.0
91.2,266.0,0.0
87.5,184.0,0.0
92.3,209.0,0.0
91.9,206.0,0.0
73.2,355.0,0.0
90.5,234.0,0.0
91.8,248.0,0.0
92.4,252.0,0.0
77.6,301.0,0.0
97.7,211.0,0.0
86.3,197.0,0.0
90.2,215.0,0.175
87.1,223.0,0.0
76.8,54.0,0.0
86.7,175.0,0.0
96.1,181.0,0.0
88.7,80.0,0.0
90.7,181.0,0.0
91.8,155.0,0.0
93.8,237.0,-0.027
90.0,225.0,0.0
91.1,144.0,0.0
93.4,221.0,0.042
93.2,215.0,0.0
85.4,146.0,0.0
84.2,223.0,0.0
86.0,247.0,0.0
91.9,183.0,0.0
90.7,147.0,-0.071
93.5,199.0,-0.03
91.9,233.0,0.0
79.8,128.0,0.0
91.5,159.0,0.0
82.6,38.0,-0.0069999999999999
84.6,110.0,0.0
86.9,100.0,0.0
83.4,0.0,0.0
93.2,163.0,0.0
81.3,108.0,0.0
96.5,143.0,0.0
92.7,183.0,-0.033
94.5,148.0,0.021
93.2,211.0,0.0
91.5,246.0,0.0
91.6,200.0,-0.027
91.1,128.0,-0.023
92.4,193.0,0.0
92.4,139.0,0.0
92.3,156.0,0.0
83.2,217.0,0.005
97.3,259.0,0.0
81.0,136.0,0.0
90.8,139.0,0.0
84.0,16.0,0.0
96.8,217.0,0.0
94.6,134.0,0.0069999999999999
84.7,223.0,-0.043
96.0,246.0,0.0
86.9,110.0,0.0
90.7,113.0,0.018
79.8,329.0,0.0
93.0,213.0,0.0
94.3,221.0,0.0
82.0,273.0,0.0
80.3,222.0,0.0
94.5,217.0,0.0
99.5,204.0,0.0
93.4,131.0,0.024
79.8,357.0,0.0
94.2,216.0,0.0
85.7,217.0,0.0
86.4,155.0,0.0
89.4,125.0,0.0
81.5,283.0,-0.0139999999999999
95.5,209.0,0.0
87.0,241.0,0.0
86.6,126.0,-0.036
90.2,171.0,-0.021
